date,grade,name,station
2012-04-03,Carabinero,Miguel Faúndez Morales,50a. Com. San Joaquin
2012-04-02,Sargento 2do.,Hugo Albornoz Albornoz,P.A.E. Araucanía Pref. Cautín.
2011-08-07,Cabo 2do.,Juan Carlos Ulloa Saravia,2a. Com. Copiapó
2011-05-19,Subteniente,Luis Méndez Moraga,ESCAR.
2011-05-19,Cabo 1ro.,Enrique Isidoro Fernández Parra,4a. Com. Santiago Central.
2011-05-02,Cabo 2do.,Paulina Aurora Gallardo Reyes,14a. Com. San Bernardo
2011-02-03,Sargento 2do.,Germán Ulloa Valdivia,3a. Com. Santiago Central
2011-02-01,Aspirante,Sebastián Andrés Pinuer Barría,Escuela de Carabineros
2010-06-17,Carabinero,Ronny Esteban Montecinos Araya,2a. Com. Constitución
2009-12-06,Carabinero,Ariel Hardy Herrera Naranjo,1a. Com. Viña Del Mar
2009-11-28,Carabinero,Dagoberto Hernán Gavilán Leal,Gpo. Formación Temuco
2009-11-28,Carabinero,Gonzalo Andrés Vergara Vega,Gpo. Formación Temuco
2009-11-28,Cabo 2do.,Claudio Hernán Godoy Benavente,Subcom. FF.EE. Pref. Cautín
2009-09-07,Subteniente,Felipe Arturo Cáceres Canales,Jefatura de Zona Melropolilana
2009-08-23,Sargento 1ro.,Godofredo Arturo Jara Carrasco,1a. Com. Los Ángeles
2009-07-04,Cabo 2do.,Domingo Leonidas Rojas Candia,1a. Com. Los Ángeles
2009-04-21,Cabo 1ro.,Javier Andrés Delgado Carrasco,4a. Com. Río Bueno
2009-01-18,Carabinero,Cristopher Alejandro Valenzuela Romero,36a. Com. La Florida
2009-01-11,Sargento 2do.,Jaime Martín Corrales Sánchez,2a. Com. Copiapó
2008-05-29,General Director,José Bernales Ramírez,Dirección General
2008-05-29,Tte. Coronel,Ricardo Orozco Ugalde,Secretaría General
2008-05-29,Tte. Coronel,Óscar Tapia Bacigalupo,Sección Escolta Policial
2008-05-29,Capitán,Mauricio Fuenzalida Ayala,Sección Escolta Policial
2008-04-05,Carabinero,Miguel Alejandro Ortiz Salazar,Tenencia Carretera Biobío
2008-02-27,Teniente,Sebastián Eduardo Rodríguez Torres,Prefectura Aeropollclal
2008-02-27,Capitán,Luciano Albino Castro Adasme,Prefectura Aeropollclal
2008-02-18,Cabo 1ro.,Carlos Cuevas Golmo,49a. Com. Quilicura
2008-02-13,Cabo 2do.,Job Burgos Burgos,49a. Com. Quilicura
2007-12-25,Sargento 2do.,Claudio Alejandro Muñoz Muñoz,3a. Com. Padre Las Casas
2007-12-03,Cabo 2do.,Alejandro Eduardo Riveros Arriagada,3a. Com. Cañete.
2007-10-18,Sargento 2do.,Luis Moyano Farías,1a. Com. Santigo Central
2007-09-12,Cabo 1ro.,Cristián Vera Contreras,Subcom. Pudahuel Sur
2007-09-12,Cabo 1ro.,Egar Saúl Arrepol Torres,4a. Com. Tránsito
2007-05-19,Cabo 1ro.,Jorge Abarca Barrios,14a. Com. San Bernardo
2007-01-28,Coronel,Ricardo Arrué Montenegro,2a. Com. Chillan
2006-09-11,Cabo 2do.,Alex Mauricio Pizarro Valenzuela,20a. Com. Puente Alto
2006-07-23,Carabinero,Maferrcial Renato Gutiérrez Flores,Tenencia Carretera Curicó
2006-07-17,Cabo 2do.,Antonio Moises Llancafil Ferreira,1a. Com. Curicó
2006-06-28,Cabo 1ro.,Eliseo Renato Sagredo Rodríguez,G.O.P.E.
2006-06-26,Sargento 2do.,Carlos Alberto Bravo Sandoval,ESCAR
2006-06-18,Carabinero,José Martín Gálvez Roldan,24a. Com. Melipilla
2006-03-16,Sargento 2do.,José Reyes Muñoz,Tenencia Carretera Curicó
2005-11-16,Carabinero,Victor Hugo Peñaloza Del Pozo,31a. Com. San Ramón
2005-08-13,Subteniente,Carlos González Zúñiga,36a. Com. La Florida
2005-06-26,Carabinero,Victor Manuel Hernández Fuentealba,26a. Com. Pudahuel
2005-05-13,Suboficial,Guillermo Ortiz Cruz,Tenencia Dalcahue
2005-04-17,Suboficial,Juan Farias Santelices,2a. Com. Talcahuano
2005-02-26,Carabinero,Alberto Eleodoro Carcamo Carrasco,Tenencia Subtte. Ruben Mogollones
2005-02-01,Carabinero,Rodrigo Esteban Coronilla Barahona,3a. Com. Antofagasta
2004-12-01,Cabo 1ro.,Francisco Waldemar González Candia,Subcom. Motorizada
2004-11-02,Carabinero,Manuel Alejandro Cortés Cisternas,Tenencia Carretera Baquedano
2004-10-20,Carabinero,Jorge Armando Rebolledo Rebolledo,2a. Com. Coronel
2004-09-12,Sargento 1do.,Edison Hernández Oñate,Retén Caquena
2004-05-20,Sargento 2do.,Jorge Raúl Contreras Mundaca,Gpo. Escolta Presidencial
2004-04-25,Carabinero,Claudio Eleazar Calderon Duarte,Subcom. Concón
2004-03-24,Carabinero,Cristián Mauricio Ortiz Valdebenito,10a. Com. La Cisterna
2004-03-13,Carabinero,Juan Pablo Sandoval Poblete,Retén Puerto Gudal
2003-11-30,Carabinero,Ramón Marcelo Vásquez Gutiérrez,Retén Cucumen
