date,grade,name,station
1990-04-29,Carabinero,Wilson Charles Araya Castillo,1a. Com. Concepción
1990-03-25,Cabo 2do.,Miguel Aberlardo Ortega Plaza,28a. Com. FF.EE.
1990-03-17,Carabinero,John Pablo Lagos Martínez,3a. Com. Pader Las Casas
1990-02-08,Carabinero,Jaime Arturo González Calquín,1a. Com. La Granja
1990-01-31,Sargento 2do.,José Nicomedes Sepúlveda Ibarra,3a. Com Parral
1990-01-28,Carabinero,Victor Omar Villar Villar,5a. Com. Casa Blanca
1990-01-10,Teniente ,German Ricardo Fuentes Meza ,"Prefectura Aeropolicial, Sección Aviones"
1989-12-14,Carabinero,Patricio Antonio Castillo Lara,15a Com. La Granja
1989-11-28,Cabo 1ro.,David Fernando Julio Castillo,Ceicar Coquimbo.
1989-10-29,Cabo 2do.,Rudi Esteban Keller Jara,1a. Com. Calama
1989-09-29,Cabo 2do.,Héctor Pincheira Armijo,42a. Com. R.P.
1989-09-17,Sargento 2do.,Juan Luis Mieres Cea,2a. Com. Collipulli
1989-09-15,Capitán ,Augusto Dante González Quiroga ,1a. Comisaría Linares 
1989-08-19,Cabo 1ro.,Luis Fernando Silva Barraza,Pref. Ñuble PM
1989-08-13,Teniente (S) ,Juan Ignacio Berger Venegas ,Prefectura Valdivia
1989-07-21,Cabo 2do.,Jaime Dionesimo Parra Aguayo,6a. Com. Recoleta
1989-07-21,Carabinero,Ramón Adolfo Aalas Sanhueza,6a. Com. Recoleta
1989-07-06,Cabo 1ro.,Carlos Jesús Lamoza Arce,Dpto. Drogas O.S.7 PM
1989-05-20,Carabinero,Pedro Enrique Carmona Castro,2a. Com. Putre
1989-05-18,Cabo 2do.,Julio Edmundo Pavez Ortiz,15a. Com. La Granja
1989-05-14,Carabinero,Jorge Washington Rivera Fabres,24a. Com. Melipilla
1989-03-22,Carabinero,Luis Gastón Arias Jofre,2a. Com.  Collipulli
1989-02-27,Cabo 2do.,Oscar Hernán Paredes Lara,1a. Com. Angol
1989-02-08,Teniente ,Jose Luis Pizzoleo Canales ,7a. Com. Renca
1989-02-08,Cabo 2do.,Leonardo Antonio Marillanca Garate,7a. Com. Renca
1989-01-31,Cabo 1ro.,Abraham Segundo Faunes Canales,1a. Com. Curico
1989-01-08,Cabo 1ro.,Ricardo Félix Uribe Morales,Dirección de Intendencia PM.
1988-11-15,Carabinero,Marco Antonio Mur Silva,1a. Com. La Ligua
1988-10-25,Carabinero,Sergio Antonio Cid Conejeros,17a. Com. Las Condes
1988-10-21,Cabo 2do.,Juvenal Vargas Sepúlveda,3a. Com Teno
1988-10-12,Cabo 1ro.,José Idelmar Barría Oyarzo,7a. Com. Renca
1988-06-20,Carabinero,Marco Antonio Peña Muñoz,14a. Com. San Bernardo
1988-05-20,Sargento 2do.,Carlos Arturo González Valenzuela,CEICAR
1988-05-20,Cabo 2do.,Jaime Orlando Sandoval Mendoza,26a. Com lo Prado
1988-04-29,Sargento 2do.,Juan de Dios Hormazábal Núñez,30a. Com. R.P.
1988-04-29,Carabinero,Guillermo Arturo Morales Herrera,2a. Com. Constitución
1988-04-12,Carabinero,Samuel Esteban López Contreras,7a. Com. Renca
1988-04-02,Cabo 1ro.,Alfredo Ernesto Rivera Rojas,20a. Com. Puente Alto
1988-02-09,Cabo 1ro.,Jorge Leonardo Navarrete Gallardo,SECODE
1988-01-29,Sargento 2do.,Roberto Osvaldo Basoalto Carreño,4a. Com Talca
1988-01-26,Mayor ,Julio Eladio Benimeli Ruz ,Subdir. de Actividades Policiales Especiales
1988-01-01,Cabo 2do.,Jorge Andrés Carrasco Martínez,26a. Com Lo Prado
1987-12-14,Carabinero,Mauricio David Quezada Cornejo,2a. Com. Santa Cruz
1987-11-12,Capitán,Matías Bernardo Muñoz Olea,Prefectura Aeropolicial
1987-11-12,Capitán,Patricio Jaime Alfaro Ramírez ,Prefectura Aeropolicial
1987-11-12,Capitán,Alejandro Luis Mackenzie Miranda ,Prefectura Aeropolicial
1987-09-11,Sargento 1ro.,Mario Martínez Vargas,30a. Com. R.P.
1987-09-11,Cabo 2do.,Ramón Ignacio Bahamonde Elgueta,30a. Com. R.P.
1987-07-28,Sargento 2do.,Leopoldo del Carmen Toloza Sepúlveda,C.N.I.
1987-07-06,Carabinero,Ernesto Alfonso Díaz Botarro,10a. Com. La Cisterna
1987-06-26,Carabinero Alumno,Luis Rumildo Valderrama Vallejos,Grupo POLCAR Ancúd
1987-06-18,Subteniente, René Marcial Hernán Hernández Pinilla,1a. Com. La Cisterna
1987-04-01,Cabo 2do.,Juan Orlando Rain Jara,2a. Com. Chillán
1987-03-30,Carabinero,Édison Mauricio Cifuentes Riquelme,31a. Com. Carretera
1987-03-24,Carabinero,Manuel José Gallardo Marchant,ESUCAR
1987-03-06,Subteniente,Eduardo Harold Tamayo Medina ,1a. Com. Concepción
1987-01-31,Teniente,Jean Pierre Edmond Francoi Laude Barcoj,"Prefectura Llanquihue, Plana Mayor"
1987-01-31,Capitán,Luis Antonio Floridor Malagueño Cifuentes ,Subcomisaría Aeropolicial Puerto Montt
1986-12-31,Cabo 1ro.,Ovidio de la Cruz Paredes Salgado,30a. Com. R.P.
1986-11-28,Teniente,Jaime Luis Saenzneira ,2a. Com. Talagante
1986-11-12,Cabo 2do.,Luis Humberto Serey Abarca,3a. Com. Limache
1986-11-06,Cabo 2do.,Manuel Antonio Martínez Cavieres,30a. Com. R.P.
1986-09-07,Cabo 2do.,Pablo Arturo Silva Pizarro,Gpo. Guardia Presidencial
1986-08-26,Cabo 1ro.,Juan Manuel Tabilo Rojas,Dpto. Drogas O.S.7 PM
1986-08-26,Teniente,Mario Alejandro Donati Pino ,"Subdirección Actividades Policiales Especiales, Departamento O.S.7."
1986-06-25,Cabo 2do.,José Jacinto Contreras Seguel,1a. Com. Valdivia
1986-05-27,Sargento 2do.,Orlando de los Ángeles Alarcón Pérez,7a. Com. FF.EE. Valparaíso
1986-05-26,Carabinero,Mario Cesar Olave Ortiz,3a. Com. Norte Valparaíso
1986-04-29,Cabo 1ro.,Eduardo Moisés Gutiérrez Zúñiga,Pref. Valparaíso
1986-04-28,Carabinero,Miguel Antonio Vásquez Tobar,10a. Com. La Cisterna
1986-03-31,Carabinero,Álvaro Eduardo Alarcón Figueroa,10a. Com. La Cisterna
1986-03-06,Carabinero,Héctor Fernando Flores Villablanca,18a. Com. Ñuñoa
1986-02-26,Teniente,Alfonso Mauricio Rivera López ,Prefectura Santiago Sur
1986-02-17,Carabinero,Dante Arturo Martínez Ogaz,3a. Com. Limache
1986-02-17,Cabo 1ro.,Luis Antonio Cortés Bravo,3a. Com. Limache
1986-02-11,Sargento 2do.,Luis Hernán Rival Valdés,28a. Com. FF.EE.
1986-02-03,Teniente,Claudio Alejandro Salas Reginato,Prefectura Aeropolicial
1986-02-03,Capitán,Romualdo Luis Valdés San Cristóbal ,Prefectura Aeropolicial
1984-07-27,Subteniente,Julio Alberto Allende Ovalle,26a. Com. Pudahuel
1983-11-11,Mayor,Sergio Anisal González Gutiérrez ,2a. Com. Pozo Almonte.
1982-02-06,Capitán,Bernardo Manuel Díaz vieira ,Subcom. Aeropolicial
1981-11-27,Teniente,Renato Alcibiades Salinas Carrasco,4a. Com. Nueva Imperial
1981-09-04,Capitán,Manuel Patricio Cantarero Aparicio,2a. Com. Talcahuano
1981-02-10,Teniente,Pedro Nicolas González Correa,2a. Com. Pozo al Monte
1980-09-08,Capitán,Carlos Millar Moretti,1a. Com. Aeropolicial
1980-03-01,Teniente,Luis Eugenio Solorza Bustos,23a. Com. talagante
1979-12-02,Mayor,Mario Ormeno Valderas ,lnstituto Superior
1979-06-11,Capitán,Luis Fernando Uldarico Santos Orellana,1a. Com. Aeropolicial
1979-06-11,Capitán,Héctor Adolfo Yianatos Martinez,Subcom. de Helicopteros
1979-05-25,Capitán,Rene Marcelo Valle Ponce ,Hospital de Carabineros
1979-01-23,Capitán,Roberto Alfonso Blanco Valenzuela,26a. Com. Lo Barnechea
1979-01-11,Subteniente,Gabriel Horacio Vilches Quiroz ,11a. Com. Santiago
1978-11-05,Carabinero,Jorge Waldo cabello Orrego,1a. Com. San Javier
1978-09-20,Subteniente,Luis Fernando Oliva Parra,4a. Com. RP y Tránsito
1978-05-13,Oficial 2o.,Tomas Antonio González Alarcón,Prefectura Talca
1978-05-13,Teniente,Arístides Tobías Guzmán Rosales,2a. Com. Lebu
1977-02-18,Mayor (J),Patricia Emma Lucrecia Mcpherson Cisternas,Depto. Defensoría Jurídica
1976-11-20,Mayor,Raúl Antonio Arellano Castillo,Pref. San Antonio
1976-11-20,Mayor,Raúl Antonio Arellano Castillo ,Pref. San Antonio
1976-04-18,Mayor,Tarcicio Osvaldo Valentín Valderrama Correa,4a. Com. Illapel
1975-01-16,Cabo 2do.,Santos Florin López Plaza,3a. Com. Ovalle
1975-01-09,Cabo 1ro.,José Segundo Maldonado Martínez,2a. Com. Temuco
1974-12-19,Carabinero,Néstor Emilio Toro Ulloa,7a. Com. Santiago
1974-12-06,Suboficial Mayor,Samuel Antonio Vergara Vásquez,2a. Com. Putre
1974-12-06,Cabo 1ro.,Oscar Samuel Contreras Torres,2a. Com. Putre
1974-11-28,Sargento 1ro.,Raúl Gilberto Celedón Hernández,1a. Com. Viña Del Mar
1974-11-19,Cabo 1ro.,Zenobio Ubilla Sotomayor,2a. Com. Temuco
1974-10-17,Cabo 1ro.,Hugo Florentino Monroy Espinoza,1a. Com. San Carlos
1974-10-17,Cabo 1ro.,Raúl Demetrio Sepúlveda Grandon,1a. Com. San Carlos
1974-10-13,Cabo 1ro.,Juan Ernesto Leiva Landaeta,3a. Com. Parral
1974-09-18,Escribiente 2do.,Francisco Adrián Meza Bravo,4a. Com. Talca
1974-09-10,Cabo 2do.,Luis Cáceres Martínez,1a. Com. Calama
1974-08-23,Cabo 1ro.,Juan Belarmino Barra Avilés,1a. Com. Rancagua
1974-08-18,Capitán,Eduardo Segundo Jaramillo Martínez,1a. Sección Transoprte
1974-08-08,Sargento 1ro.,Dagoberto Antonio Cereceda Ramírez,4a. Com. Río Bueno
1974-08-06,Cabo,Luis Augusto Gutiérrez Flores,6a. Com. Santiago
1974-06-19,Cabo 1ro.,Miguel González González,24a. Com. Central
1974-06-09,Profesor,José Hernán Espinoza Carrasco,Escuela de Carabineros
1974-05-14,Sargento 2do.,Sergio Edgardo López Aedo,2a. Com. FF.EE.
1974-04-20,Sargento 2do.,Luis Alberto Michel Poza,1a. Com. Angol
1974-04-12,Suboficial,José Antonio Maldonado Roa,2a. Com. Puente Alto
1974-03-06,Capitán,Sergio Roberto Panizza Ambusto,Sección Policia Forestal
1974-02-28,Cabo,Pedro Segundo Sepúlveda,3a. Com. Parral
1974-01-28,General,Luis Alberto Valdivia Román,Depto. De Bienestar
1974-01-28,Mayor,Humberto Meneses Larrondo,1a. Com. Aeropolicial
1974-01-04,Cabo,Ramón Antonio Castillo Concha,2a. Com. Serv. Especiales
1973-12-19,Cabo,Gustavo Juan Barrionuevo Cáceres,4a. Com. La Florida
1973-12-11,Carabinero,Antonio Villalobos Vargas,5a. Com. Panguipulli
1973-11-29,Cabo,Bilvio Ladin Basso Basso,1a. Com. Rancagua 
1973-11-09,Mayor,José Héctor Dávila Rodríguez,4a. Com. Antofagasta
1973-10-07,Carabinero,Francisco Édison González Arévalo,13a. Com. Ñuñoa
1973-09-19,Cabo 1ro.,Orlando del Carmen Espinoza Faúndez,4a. Com. Talca
1973-09-15,Cabo 1ro.,Robinson de Jesús Rojas Villanueva,2a. Com. Putre
1973-09-14,Sargento 2do.,Juan Segundo Beroíza Carrasco,Subcom. Servicios Especiales
1973-09-14,Carabinero,Esteban Manuel Cifuentes Cifuentes,12a. Com. San Miguel
1973-09-14,Carabinero,Fabriciano Nolberto González Urzúa,1er. Esc. Alumnos ESUCAR
1973-09-12,Carabinero,Pedro Ángel Cariaga Mateluna,5a. Com. R.P. Y Tranito
1973-09-11,Suboficial,José Humberto Wetling Wetling,12a. Com. San Miguel
1973-09-11,Vice-Sargento 1ro.,Anselmo Aguayo Bustos,6a. Com. San Bernardo
1973-09-11,Carabinero,Raúl Arturo Lucero Ayala,22a. Com. La Cisterna
1973-09-11,Carabinero,Martín Segundo Vega Antequera,22a. Com. La Cisterna
1973-09-11,Carabinero,Mario Barriga Arriagada,15a. Com. Transito
1973-09-11,Carabinero,José Artidoro Apablaza Brevis,10a. Com. Quinta Normal
1973-09-11,Carabinero,José Maldonado Inostroza,9a. Com. Santigo
1973-09-11,Carabinero,Juan Leopoldo Herrera Urrutia,9a. Com. Santigo
1973-09-11,Tte. Coronel,Osvaldo Mario Muñoz Carrasco,4a. Com. Antofagasta
1973-09-11,Teniente,Ramón Ángel Jiménez Cadieux,21a. Com. José María Caro
1973-07-30,Sargento 2do.,Leónidas Calisto Pérez Alderete,2a. Com. Castro
1973-06-29,Carabinero,Héctor Manuel Silva Cuevas,1a. Com. Santiago
1973-05-07,Vice-Sargento 1ro.,Juan Antonio Segundo Díaz Vargas,1a. Com. Valdivia
1973-04-28,Carabinero,Abel Hermógenes Moncada Cortes,4a. Com. Río Bueno
1973-03-12,Vice-Sargento 1ro.,Santiago Álvaro Gómez Sotomayor,3a. Com. Calama
1973-03-02,Carabinero,Salvador del Carmen Araya Lucero,5a. Com. R.P.
1973-01-04,Carabinero,Benjamin Belfor Alderete Oyarzún,3a. Com. Achao
1972-11-19,Carabinero,Marcos Yévenes Molina,15a. Com. Tránsito
1972-11-13,Carabinero,Alfredo Erasmo Rozas Bugueño,3a. Com. Vallenar
1972-10-20,Carabinero,Jose Manuel Constand Rodriguez,1a. Com. Arauco
1972-10-14,Cabo,Luis Nonato Corales Ponce,Escuela De Carabineros
1972-10-06,Suboficial Mayor,Victor Ricardo Duque Martínez,3a. Com. Puerto
1972-09-22,Cabo,Waldomiro Muenas,2a. Com. Servicios Especiales
1972-09-15,Cabo,Luis Alberto Avila Cisterna,2a. Com. San Felipe
1972-08-30,Cabo,Exequiel Aroca Cuevas,10a. Com. FF. EE.
1972-08-28,Cabo,Ramon Enrique Reyes Arancibia,3a. Com. Limache
1972-07-27,Cabo,Osvaldo Albornoz Espinoza,12a. Com. San Miguel
1972-07-13,Carabinero,Victor Antonio Gonzalez Alfaro,Escuela De Carabineros
1972-06-19,Carabinero,Julio Ismael Michea Castillo,3a. Com. Limache
1972-05-25,Cabo,José Enrique Higuera,6a. Com. Almendral
1972-05-21,Sargento 2do.,Julio Cortés Orozco,5a. Com. Iquique U
1972-05-16,Carabinero,José Ramon Correa Pino,5a. Com. Concepción
1972-05-06,Cabo,Luis Arias Vasconcello,Dpto. Adquis. Y Abastecimiento L.2.
1972-02-19,Sargento 2do.,Jesús Manuel Maraboli Aracena,1a. Com. Arica.
1972-02-09,Carabinero,Gastón Jara Rivera,5a. Com. Concepción
1972-01-22,Cabo,Jorge Fernando Orellana San Martin,Dpto. Pol. Menores PM.
1971-12-30,Sargento 2do.,Manuel Pérez Contreras,6a. Com. Loncoche.
1971-09-23,Cabo,Fernando Omar Claramunt Cid,1a. Com. Los Ángeles
1971-09-11,Carabinero,José Orlando Monje Pérez,2a. Com. Talcahuano
1971-09-06,Carabinero,Luis Segundo Araya Olmedo,Escuela De Suboficiales
1971-07-31,Carabinero,Miguel Segundo Cáceres Pizarro,3a. Com. Limache
1971-06-27,Cabo,José Arnoldo Bilbao Zech,10a. Com. FF. EE.
1971-06-17,Cabo,José Cartes Diaz,4a. Com. Concepción.
1971-05-30,Cabo,Roberto Enrique Aranda Leiva,3a. Com. Talca (U).
1971-05-24,Carabinero,Tomas Arnaldo Gutiérrez Urrutia,17a. Com. R.P.
1971-05-21,Cabo Chofer,Sergio Antonio Suazo Jauregui,Escuela De Carabineros
1971-05-21,Cabo,Sergio Antonio Suazo Jauregui,Escuela de Carabineros
1971-04-12,Sargento 2do.,Leonel Ire Molina Lezana,Relaciones Públicas
1971-03-20,Cabo,Genaro Juan Cruz Viguera,5a. Com. Pitrufquén
1971-03-07,Sargento 2do.,Jenaro Leyton Sandoval,2a. Com. María Elena
1971-02-16,Cabo,Gabriel Oyarzun Oyarzún,2a. Com. Castro
1971-01-01,Carabinero,José Hernández Castillo,22a. Com. La Cisterna
1970-12-23,Carabinero,Jorge Dionisio Campos Llanos,4a. Com. Talca
1970-09-21,Cabo,Armando Aurelio Cofre López,13a. Com. Ñuñoa
1970-09-15,Cabo,Ladislao Carrasco Pérez,2a. Com. Pozo al Monte
1970-09-01,Vice-Sargento 1ro.,Fructuoso Segundo Gómez Ascencio,6a. Com. Loncoche
1970-08-29,Vice-Sargento 1ro.,Orlando Raúl Cáceres Díaz,Escuela de Carabineros
1970-08-20,Carabinero,José Eduardo Rubilar Sánchez,6a. Com. Santiago
1970-08-11,Cabo,Luis Fuentes Pineda,22a. Com. La Cisterna
1970-08-08,Carabinero,Edmundo Figueroa,4a. Com. Rio Bueno
1970-08-04,Teniente,Mauricio Herbillón Martínez,1a. Com. Tome
1970-08-03,Carabinero,Manuel Andrés Díaz Arellano,1a. Com. Tomé
1970-07-11,Sargento 1ro.,Raúl Rodríguez Jhonson,3a. Com. Teno
1970-06-29,Vice-Sargento 1ro.,Benito del Rosario Carvajal Rojas,1a. Com. La Serena
1970-06-17,Carabinero,Domingo Enrique Lamas Arenas,1a. Com. La Serena
1970-06-03,Carabinero,Nelson Martínez Leiva,2a. Com. Graneros
1970-05-31,Mayor,Oscar Rodolfo Urbina Guerrero,Pref. Valdivia
1970-05-22,Escribiente 1ro.,Héctor  Ferrada Bastias,Direcc. Personal
1970-05-11,Cabo,Jorge Luis Huerta Alarcón,3a. Com. Sewell
1970-04-12,Carabinero,Jesús Aladino Henríquez Sanzana,22a. Com. La Cisterna
1970-02-18,Carabinero,Arnoldo Segundo Henríquez Bahamondez,3a. Com. Osorno
1970-02-06,Cabo,Luis Antidoro  Meriño Ferreira,Escuela De Suboficiales
1970-01-09,Carabinero,Esteban Segundo Santander Matamala,1a. Com. Rancagua
1970-01-09,Carabinero,José Maximiliano Guerrero Rodríguez,22a. Com. La Cisterna
1970-01-04,Sargento 2do.,Luis Arturo Martínez Lorca,4a. Com. Rengo
1969-12-31,Carabinero,Ivan del Tránsito Sanhueza García,5a. Com. Concepción
1969-11-15,Sargento 1ro.,Maximiliano Humberto Venegas Farias,4a. Com. Talca
1969-10-30,Cabo,Raúl Antonio Gutiérrez Aravena,Gpo. Móvil
1969-10-21,Carabinero,Manuel Osvaldo Leiva León,1a. Com. Renca
1969-09-29,Carabinero Chofer,Domingo Patrocinio Farias Carmona,Pref. Antofagasta
1969-09-09,Cabo,Eduardo López Olivares,1a. Com. La Ligua
1969-08-14,Cabo,Hernán Eulogio López Torres,6a. Com. Loncoche
1969-07-11,Carabinero,Eugenio Alejandro Becerra Cañete,6a. Com. Santiago Central
1969-06-08,Carabinero,German Eduardo Acuña,13a. Com. Santiago Sur
1969-06-07,Cabo,Fernando Augusto Vásquez,Tcia. Carreteras Logotoma
1969-06-05,Carabinero,Hernán Álvarez águila,2a. Com. Castro
1969-04-12,Sargento 2do.,Merito Humberto Espinoza Reyes,2a. Com. Puerto Montt
1969-02-23,Teniente,Samuel Paschuan Miranda ,Gpo. Móvil
1969-02-05,Cabo,Luis Hernán Becerra Gajardo,2a. Com. Santa Cruz
1969-01-19,Cabo E.G.,Jorge Urra Venegas,3a. Com. Chile Chico
1968-12-19,Carabinero,Isaac Reyes Núñez,10a. Com. Quinta Normal
1968-12-14,Carabinero,Juan Ramón Toledo Espinoza,6a. Com. San Bernardo
1968-08-11,Cabo,José Heriberto Mera Espinoza,3a. Com. Temuco
1968-06-25,Carabinero,Sergio Alfredo Pinochet Flores,4a. Com. Quillota
1968-06-25,Carabinero,Eric Ricardo Vega Vega,4a. Com. Quillota
1968-05-27,Teniente,Mario Arnaldo  Andía Perea ,Digcar
1965-11-06,Teniente,Hernán Francisco Merino Correa ,3a. Com. Chile Chico
1965-06-18,Tte. Coronel,José Lorenzo Sepúlveda Quintana ,Pref. OHiggins
1965-03-06,Teniente,Adolfo Bendel Maurelia,Brigada Aeropolicial
1964-07-24,Teniente,Manuel Victorino Arias Quintana ,Brigada Aeropoliclal
1961-11-24,Subteniente,Salvador Moncada Elordi ,4a. Com Florida
1961-10-14,Mayor,Luis Retamal Irribarra,2a. Com. Talcahuano
1961-10-14,Capitán,Luis Llanos López,2a. Com. Talcahuano
1961-06-24,Mayor,Luis Salazar Quevedo,1a. Com. Renca
1960-11-05,Teniente,José Miguel Guerrero Henríquez ,19a. Com. Móvil
1960-10-14,Subteniente,José Burgos Acuña,6a. Com. Antofagasta
1960-02-21,Cabo,Genaro De Las Mercedes González Sanhueza,3a. Com. Cauquenes
1960-01-30,Carabinero,Renaldi Álvarez Contreras,7a. Com. OHiggins
1959-12-07,Carabinero,Francisco Octavio Cruz González,1a. Com. Valdivia
1959-10-17,Carabinero,Fidel Del Carmen Ramírez Abarca,3a. Com. Sewell
1959-10-04,Sargento 2do.,José Aníbal Escobar Monroy,4a. Com. Yungay
1959-09-26,Capitán,Leopoldo Rojas Vásquez,6a. Com. Antofagasta
1959-06-24,Carabinero,Mario Hernán Becker Díaz,20a. Com. Puente Alto
1959-06-24,Carabinero,Jaime del Carmen Barahona,20a. Com. Puente Alto
1959-06-22,Carabinero,Sergio Alarcón,1er. Esc. Alumnos Esucar
1959-06-19,Carabinero,Hugo Hernán Fuentes,2a. Com. Lebu
1959-05-26,Carabinero,Mario Carrillo,3a. Com. Calama
1959-02-25,Carabinero,Homero Fuentes Badilla,6a. Com. Antofagasta
1959-01-28,Teniente,Jorge Bórquez Gutiérrez,13a Com. Ñuñoa
1959-01-01,Cabo,Luis Artemio Castillo Álvarez,1a. Com. Ancud
1958-12-12,Carabinero,Héctor Emeterio Caroca Rodríguez,13a. Com. Ñuñoa
1958-10-10,Carabinero,Hernán Alberto Vergara Ramírez,Reten Malloco
1958-10-02,Carabinero,Rene Sepúlveda Parraguez,1a. Com. Laja
1958-10-01,Carabinero,Ramón Salgado Salgado,1a. Com. Angol
1958-07-07,Carabinero,Alejandro Esquivel Viveros,7a. Com. Coronel
1958-06-24,Carabinero,Nolberto Delgado Arriagada,2a. Com. Arica
1958-04-29,Carabinero,Antonio Bulnes Cayuqueo,3a. Com. Temuco
1958-04-11,Cabo,Juan González Miranda,2a. Com. Aysen
1958-04-11,Sargento 2do.,Dolorindo S. Bernier Barría,2a. Com. Puerto Montt
1958-02-06,Carabinero,Gabriel Idett Vásquez,Pref. Concepción
1957-12-28,Cabo,José Martínez Erices,1er. Esc. Alumnos Esucar
1957-12-22,Carabinero,Pablo Huenchunao Lincuñir,7a. Com. O Higgins
1957-12-04,Sargento 2do.,Silverio Bustamante Poblete,1a. Com. La Serena
1957-11-20,Cabo,Juan Bautista Belmar de la Fuente,3a. Com. Chile Chico
1957-11-16,Cabo,Pedro Juan Valenzuela Riquelme,6a. Com. Loncoche
1957-11-16,Cabo,Flaminio Leal Cofre,6a. Com. Loncoche
1957-10-25,Carabinero,Juan Silva Ojeda,3a. Com. La Unión
1957-10-09,Cabo,Juan Cofre,2a. Com. Chanco
1957-10-06,Carabinero,José Gonzalo Concha Quiroz,1a. Com. Loncomilla
1957-09-23,Sargento 2do.,José del Carmen Ortega Castro,12a. Com. Quillota
1957-07-26,Carabinero,Arturo del Rosario Verdejo Elgueta,11a. Com. Limache
1957-07-10,Carabinero,José Olegario Torres,1a. Com. Magallanes
1957-05-13,Cabo,Nicomedes Alberto Espinace Contreras,2a. Com. Linares
1957-03-31,Sargento 1ro.,Emiliano Zúñiga Ibacache,2a. Com. Puente Alto
1957-03-29,Carabinero,Sergio Rene Ojeda Ampuero,1a. Com. Osorno
1957-02-11,Sargento 2do.,Luis Barraza Pedreros,2a.Com. Aduana
1957-01-27,Carabinero,Rene Caucaman Martínez,1a. Com. Valdivia
1957-01-22,Carabinero,Carlos Oscar Pérez Osses,1a. Com. Renca
1957-01-06,Cabo,Mario Heriberto Osses Reyes,3a. Com. Talca
1956-11-19,Sargento 2do.,Héctor Eladio Uribe Soto,1a. Com. Ancúd
1956-10-14,Cabo,José Huenteo Huenteo,5a. Com. Curacautín
1956-09-08,Carabinero,Jaime Alejandro Cabrera Vivar,17a. Com. R.P.
1956-08-15,Carabinero,Marcos Aurelio Rodríguez Sandoval,2a. Com. Chillán
1956-08-12,Carabinero,Evaristo Ruiz Gutiérrez,2a. Com. Talcahuano
1956-08-02,Cabo,José Temístocles Fuentes Totin,2a. Com. Mulchen
1956-07-24,Carabinero,José Manuel Larrondo Polanco,4a. Com. Illapel
1956-07-12,Carabinero,Reinaldo Segundo Retamal Sazo,2a. Com. Linares
1953-04-03,Teniente,Julio Gallardo Donoso ,11a. Com. Santiago
1948-12-05,Teniente,Jorge Sergio Barrientos Serre,15a. Com Santigo Oriente
